iter	Passed	Remaining
1535	22360	9287
1536	22374	9273
1537	22388	9258
1538	22403	9243
1539	22415	9228
1540	22429	9213
1541	22443	9198
1542	22457	9184
1543	22473	9169
1544	22488	9155
1545	22501	9140
1546	22514	9125
1547	22528	9110
1548	22544	9096
1549	22560	9082
1550	22574	9067
1551	22590	9053
1552	22606	9039
1553	22620	9024
1554	22635	9010
1555	22648	8995
1556	22661	8980
1557	22678	8966
1558	22695	8952
1559	22710	8938
1560	22724	8923
1561	22738	8908
1562	22752	8894
1563	22764	8878
1564	22777	8863
1565	22792	8849
1566	22806	8834
1567	22820	8819
1568	22836	8805
1569	22851	8791
1570	22865	8776
1571	22879	8761
1572	22893	8747
1573	22908	8732
1574	22924	8718
1575	22938	8703
1576	22951	8688
1577	22967	8674
1578	22979	8659
1579	22995	8645
1580	23009	8630
1581	23023	8615
1582	23037	8600
1583	23052	8586
1584	23088	8579
1585	23102	8565
1586	23116	8550
1587	23130	8535
1588	23148	8522
1589	23164	8508
1590	23194	8499
1591	23208	8484
1592	23224	8470
1593	23238	8455
1594	23253	8441
1595	23268	8426
1596	23285	8413
1597	23301	8398
1598	23316	8384
1599	23331	8370
1600	23348	8356
1601	23365	8342
1602	23381	8328
1603	23395	8313
1604	23410	8299
1605	23425	8284
1606	23442	8271
1607	23457	8256
1608	23471	8242
1609	23485	8227
1610	23500	8212
1611	23517	8199
1612	23533	8185
1613	23550	8171
1614	23565	8156
1615	23579	8142
1616	23595	8127
1617	23611	8113
1618	23625	8098
1619	23641	8084
1620	23656	8070
1621	23671	8055
1622	23689	8042
1623	23704	8027
1624	23719	8013
1625	23734	7999
1626	23751	7985
1627	23765	7970
1628	23780	7956
1629	23796	7941
1630	23812	7927
1631	23827	7913
1632	23843	7899
1633	23858	7884
1634	23872	7869
1635	23887	7855
1636	23904	7841
1637	23918	7826
1638	23931	7811
1639	23945	7796
1640	23959	7782
1641	23976	7768
1642	23992	7754
1643	24007	7739
1644	24022	7725
1645	24039	7711
1646	24057	7697
1647	24071	7683
1648	24085	7668
1649	24098	7653
1650	24112	7638
1651	24126	7623
1652	24140	7608
1653	24156	7594
1654	24173	7580
1655	24192	7567
1656	24207	7553
1657	24223	7538
1658	24238	7524
1659	24252	7509
1660	24266	7494
1661	24280	7479
1662	24295	7465
1663	24309	7450
1664	24323	7435
1665	24337	7421
